In-State Tuition,Out-of-State Tuition,Median Earnings (10 yrs),School Name,State
10024.0,18634.0,40628.0,Alabama A & M University,AL
8832.0,21216.0,54501.0,University of Alabama at Birmingham,AL
,,37621.0,Amridge University,AL
11878.0,24770.0,61767.0,University of Alabama in Huntsville,AL
11068.0,19396.0,34502.0,Alabama State University,AL
11940.0,32300.0,59221.0,The University of Alabama,AL
4990.0,8740.0,33506.0,Central Alabama Community College,AL
,,50273.0,Athens State University,AL
9100.0,19348.0,44391.0,Auburn University at Montgomery,AL
12176.0,32960.0,65337.0,Auburn University,AL
21250.0,21250.0,59481.0,Birmingham-Southern College,AL
4980.0,8730.0,36438.0,Chattahoochee Valley Community College,AL
17014.0,17014.0,34421.0,South University-Montgomery,AL
4920.0,8670.0,42572.0,Enterprise State Community College,AL
4920.0,8670.0,34894.0,Coastal Alabama Community College,AL
23920.0,23920.0,43457.0,Faulkner University,AL
3984.0,6984.0,32937.0,Gadsden State Community College,AL
,,,New Beginning College of Cosmetology,AL
4860.0,8610.0,31399.0,George C Wallace Community College-Dothan,AL
4920.0,8670.0,39842.0,George C Wallace State Community College-Hanceville,AL
4620.0,8370.0,31598.0,George C Wallace State Community College-Selma,AL
12750.0,12750.0,36909.0,Herzing University-Birmingham,AL
28350.0,28350.0,49601.0,Huntingdon College,AL
11632.0,11632.0,42597.0,Heritage Christian University,AL
4890.0,8640.0,28281.0,J. F. Drake State Community and Technical College,AL
4860.0,4860.0,,J F Ingram State Technical College,AL
11952.0,21912.0,45235.0,Jacksonville State University,AL
5220.0,8910.0,40719.0,Jefferson State Community College,AL
5000.0,8750.0,38192.0,John C Calhoun State Community College,AL
4920.0,8670.0,31701.0,Lawson State Community College,AL
10990.0,20090.0,44232.0,University of West Alabama,AL
4920.0,8670.0,32307.0,Lurleen B Wallace Community College,AL
9538.0,15538.0,59644.0,Marion Military Institute,AL
12714.0,12714.0,32627.0,Miles College,AL
25880.0,25880.0,43611.0,University of Mobile,AL
13710.0,26730.0,42957.0,University of Montevallo,AL
5011.0,8761.0,33828.0,Northwest Shoals Community College,AL
11220.0,21420.0,45415.0,University of North Alabama,AL
4920.0,8670.0,34913.0,Northeast Alabama Community College,AL
20040.0,20040.0,42488.0,Oakwood University,AL
4950.0,8700.0,28982.0,Reid State Technical College,AL
4920.0,8670.0,29916.0,Bishop State Community College,AL
36725.0,36725.0,58469.0,Samford University,AL
4800.0,4800.0,,Selma University,AL
4980.0,8730.0,35014.0,Shelton State Community College,AL
5408.0,9408.0,35735.0,Snead State Community College,AL
9116.0,17732.0,49379.0,University of South Alabama,AL
21732.0,21732.0,51500.0,Spring Hill College,AL
11392.0,11392.0,35421.0,Stillman College,AL
13866.0,13866.0,32229.0,Talladega College,AL
4830.0,8580.0,32183.0,H Councill Trenholm State Community College,AL
9312.0,18624.0,42062.0,Troy University,AL
22614.0,22614.0,49641.0,Tuskegee University,AL
16418.0,16418.0,55257.0,United States Sports Academy,AL
5278.0,9278.0,34107.0,Bevill State Community College,AL
7508.0,21635.0,51871.0,University of Alaska Anchorage,AK
10900.0,10900.0,,Alaska Bible College,AK
7896.0,22032.0,48866.0,University of Alaska Fairbanks,AK
6960.0,21096.0,48475.0,University of Alaska Southeast,AK
20760.0,20760.0,54271.0,Alaska Pacific University,AK
,,51083.0,Alaska Vocational Technical Center,AK
17116.0,17116.0,35504.0,Charter College,AK
,,34468.0,Alaska Career College,AK
,,25073.0,Empire Beauty School-Tucson,AZ
,,36718.0,Carrington College-Phoenix North,AZ
,,36718.0,Carrington College-Mesa,AZ
,,36718.0,Carrington College-Tucson,AZ
,,21201.0,Arizona Academy of Beauty,AZ
,,31102.0,Miller-Motte College-Arizona Automotive Institute,AZ
,,29576.0,Brookline College-Phoenix,AZ
11618.0,30592.0,62668.0,Arizona State University Campus Immersion,AZ
2960.0,9770.0,36857.0,Arizona Western College,AZ
13275.0,39577.0,59979.0,University of Arizona,AZ
1500.0,3000.0,40513.0,Central Arizona College,AZ
,,26269.0,Charles of Italy Beauty College,AZ
2184.0,6000.0,38033.0,Cochise County Community College District,AZ
,,23921.0,Empire Beauty School-Chandler,AZ
,,30803.0,Avalon Institute-Mesa,AZ
2232.0,9192.0,38018.0,Eastern Arizona College,AZ
40464.0,40464.0,84131.0,Embry-Riddle Aeronautical University-Prescott,AZ
,,,The School of Architecture,AZ
2070.0,7854.0,43108.0,Glendale Community College,AZ
17800.0,17800.0,42186.0,Grand Canyon University,AZ
2070.0,7854.0,46147.0,GateWay Community College,AZ
2070.0,7854.0,44034.0,Mesa Community College,AZ
2136.0,7008.0,35522.0,Mohave Community College,AZ
,,48341.0,Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,AZ
1410.0,1410.0,29188.0,Dine College,AZ
12274.0,27536.0,54384.0,Northern Arizona University,AZ
2428.0,9851.0,34199.0,Northland Pioneer College,AZ
2070.0,7854.0,40870.0,Phoenix College,AZ
2298.0,7614.0,39810.0,Pima Community College,AZ
,,38673.0,Pima Medical Institute-Tucson,AZ
,,30917.0,Pima Medical Institute-Albuquerque,NM
