School Name,In-State Tuition,Out-of-State Tuition,Acceptance Rate,SAT/ACT Scores,Student Population,Graduation Rate
Glendale Community College,"$2,358","$8,959",-,-,"13,480",14%
GateWay Community College,"$2,358","$8,959",-,-,"5,123",20%
Dine College,"$1,410","$1,410",-,-,"1,836",5%
Rio Salado College,"$2,358","$8,958",-,-,"18,631",4%
Yavapai College,"$2,838","$9,344",-,-,"7,200",32%
Henderson State University,"$7,572","$9,780",81.92%,-,"2,136",38%
Antelope Valley Community College District,"$1,124","$8,228",-,-,"12,937",31%
Cypress College,"$1,146","$9,399",-,-,"13,992",35%
Feather River Community College District,"$1,465","$9,925",-,-,"1,758",47%
MiraCosta College,"$1,152","$9,120",-,-,"11,707",41%
Modesto Junior College,"$1,270","$8,870",-,-,"17,152",26%
Santa Ana College,"$1,180","$9,460",-,-,"26,073",32%
Rio Hondo College,"$1,388","$9,884",-,-,"17,193",27%
San Diego Mesa College,"$1,150","$9,094",-,-,"19,243",34%
Santa Monica College,"$1,156","$9,316",-,-,"23,164",36%
Shasta College,"$1,197","$8,277",-,-,"8,081",29%
Solano Community College,"$1,172","$7,028",-,-,"8,868",34%
Trinidad State College,"$4,468","$7,100",-,-,"1,636",56%
Charter Oak State College,"$8,506","$8,506",-,-,"1,766",100%
Broward College,"$2,830","$8,952",-,-,"29,140",36%
Chipola College,"$3,120","$8,950",-,-,"1,820",61%
Florida State College at Jacksonville,"$2,657","$9,631",-,-,"20,530",32%
Gulf Coast State College,"$2,370","$8,635",-,-,"4,959",45%
Hillsborough Community College,"$2,489","$9,099",-,-,"20,004",33%
Miami Dade College,"$2,838","$9,661",-,-,"39,139",45%
Saint Louis Community College,"$5,130","$6,990",-,-,"14,627",18%
Southeast Missouri State University,"$9,495","$9,495",78.50%,990 SAT 19 ACT,"9,686",56%
Aaniiih Nakoda College,"$3,600","$3,600",-,-,133,32%
Chadron State College,"$7,564","$7,564",-,-,"2,205",38%
Nebraska Indian Community College,"$4,080","$4,080",-,-,624,17%
Peru State College,"$8,280","$8,280",-,-,"1,638",38%
Wayne State College,"$7,923","$7,923",-,-,"4,807",56%
University of New Hampshire College of Professional Studies Online,"$7,812","$9,372",-,-,"1,326",14%
Thomas Edison State University,"$6,638","$8,598",-,-,"7,587",-
Navajo Technical University,"$2,450","$2,450",-,-,"1,544",20%
Eastern New Mexico University-Main Campus,"$6,738","$8,718",54.92%,960 SAT 18 ACT,"5,386",40%
Institute of American Indian and Alaska Native Culture and Arts Development,"$5,801","$5,801",100.00%,-,831,25%
United States Merchant Marine Academy,"$1,167",$945,32.47%,1230 SAT 25 ACT,961,81%
Elizabeth City State University,"$3,412","$7,412",70.49%,-,"2,165",48%
Fayetteville State University,"$3,969","$7,969",79.89%,950 SAT 18 ACT,"6,847",35%
University of North Carolina at Pembroke,"$3,571","$7,571",92.36%,-,"7,630",45%
Western Carolina University,"$4,532","$8,532",86.66%,1155 SAT 23 ACT,"11,628",59%
Bismarck State College,"$5,195","$7,279",-,-,"4,065",48%
Nueta Hidatsa Sahnish College,"$3,870","$3,870",-,-,158,17%
Mayville State University,"$7,935","$9,564",-,-,"1,025",40%
Minot State University,"$8,633","$8,633",72.21%,1040 SAT 21 ACT,"2,741",48%
Sitting Bull College,"$4,010","$4,010",-,-,263,24%
Central Ohio Technical College,"$5,136","$7,896",-,-,"2,890",24%
Central State University,"$7,824","$9,824",46.00%,-,"3,454",26%
Cincinnati State Technical and Community College,"$5,400","$9,801",-,-,"8,681",20%
