School Name,State,In-State Tuition,Out-of-State Tuition,Median Earnings (10 yrs),Acceptance Rate,Student Population,Graduation Rate,SAT Score,ACT Score
Glendale Community College,AZ,2358.0,8959.0,43108.0,,13480.0,14.0,,
Glendale Community College,CA,2358.0,8959.0,41540.0,,13480.0,14.0,,
GateWay Community College,AZ,2358.0,8959.0,46147.0,,5123.0,20.0,,
Dine College,AZ,1410.0,1410.0,29188.0,,1836.0,5.0,,
Rio Salado College,AZ,2358.0,8958.0,41015.0,,18631.0,4.0,,
Yavapai College,AZ,2838.0,9344.0,39890.0,,7200.0,32.0,,
Henderson State University,AR,7572.0,9780.0,43459.0,81.92,2136.0,38.0,,
Antelope Valley Community College District,CA,1124.0,8228.0,36526.0,,12937.0,31.0,,
Cypress College,CA,1146.0,9399.0,43533.0,,13992.0,35.0,,
Feather River Community College District,CA,1465.0,9925.0,38142.0,,1758.0,47.0,,
MiraCosta College,CA,1152.0,9120.0,43845.0,,11707.0,41.0,,
Modesto Junior College,CA,1270.0,8870.0,42368.0,,17152.0,26.0,,
Santa Ana College,CA,1180.0,9460.0,43552.0,,26073.0,32.0,,
Rio Hondo College,CA,1388.0,9884.0,44950.0,,17193.0,27.0,,
San Diego Mesa College,CA,1150.0,9094.0,45120.0,,19243.0,34.0,,
Santa Monica College,CA,1156.0,9316.0,42193.0,,23164.0,36.0,,
Shasta College,CA,1197.0,8277.0,39269.0,,8081.0,29.0,,
Solano Community College,CA,1172.0,7028.0,44170.0,,8868.0,34.0,,
Trinidad State College,CO,4468.0,7100.0,36475.0,,1636.0,56.0,,
Charter Oak State College,CT,8506.0,8506.0,64209.0,,1766.0,100.0,,
Broward College,FL,2830.0,8952.0,41939.0,,29140.0,36.0,,
Chipola College,FL,3120.0,8950.0,37378.0,,1820.0,61.0,,
Florida State College at Jacksonville,FL,2657.0,9631.0,42244.0,,20530.0,32.0,,
Gulf Coast State College,FL,2370.0,8635.0,38359.0,,4959.0,45.0,,
Hillsborough Community College,FL,2489.0,9099.0,40782.0,,20004.0,33.0,,
Miami Dade College,FL,2838.0,9661.0,40654.0,,39139.0,45.0,,
Alabama A & M University,AL,10024.0,18634.0,40628.0,66.22,6614.0,29.0,940.0,17.0
Alabama State University,AL,11248.0,19576.0,34502.0,95.64,3870.0,30.0,966.0,18.0
Athens State University,AL,9840.0,17370.0,50273.0,,2955.0,,,
University of South Alabama,AL,9676.0,18652.0,49379.0,65.49,13768.0,53.0,1100.0,22.0
Troy University,AL,9792.0,19584.0,42062.0,92.61,13923.0,47.0,1050.0,21.0
Northern Arizona University,AZ,12238.0,19015.0,54384.0,90.95,28186.0,57.0,,
University of Arkansas for Medical Sciences,AR,8868.0,16506.0,73827.0,,3275.0,,,
University of Arkansas at Pine Bluff,AR,9019.0,17029.0,35550.0,57.54,2100.0,40.0,965.0,16.0
Arkansas State University,AR,7754.0,13826.0,42617.0,69.67,14032.0,55.0,1100.0,22.0
Arkansas Tech University,AR,8508.0,14502.0,41766.0,96.29,9487.0,49.0,1030.0,20.0
University of Arkansas at Monticello,AR,8868.0,14718.0,36902.0,,2739.0,43.0,,
University of Central Arkansas,AR,10118.0,17258.0,45938.0,90.47,9790.0,53.0,1050.0,22.0
Southern Arkansas University Main Campus,AR,9820.0,15400.0,42386.0,66.59,5127.0,46.0,1050.0,20.0
University of Arkansas-Fort Smith,AR,6906.0,13770.0,41102.0,81.47,5506.0,37.0,,
Bakersfield College,CA,1430.0,10310.0,37291.0,,30410.0,23.0,,
California State University-Bakersfield,CA,7696.0,19576.0,59009.0,88.19,9787.0,49.0,,
California State University-Stanislaus,CA,7826.0,19706.0,63188.0,97.47,9841.0,58.0,,
California State University-San Bernardino,CA,7675.0,19555.0,59977.0,98.25,18925.0,55.0,,
California State Polytechnic University-Pomona,CA,7439.0,19319.0,71902.0,73.7,26848.0,67.0,,
California State University-Chico,CA,8064.0,19944.0,64172.0,93.72,14523.0,64.0,,
California State University-Dominguez Hills,CA,7064.0,18944.0,57162.0,91.32,15181.0,47.0,,
California State University-Fresno,CA,6980.0,18860.0,61244.0,96.38,23986.0,55.0,,
California State University-Fullerton,CA,7073.0,18953.0,62951.0,86.74,41962.0,69.0,,
California State University-East Bay,CA,7055.0,18935.0,71401.0,96.81,13333.0,46.0,,
California State University-Long Beach,CA,7008.0,18888.0,64403.0,47.12,40278.0,70.0,,
College of Central Florida,FL,2710.0,10517.0,38203.0,,5747.0,44.0,,
Daytona State College,FL,3106.0,11994.0,37096.0,,11807.0,41.0,,
Florida SouthWestern State College,FL,3401.0,12979.0,43421.0,,13860.0,39.0,,
Florida Agricultural and Mechanical University,FL,5785.0,17725.0,44349.0,21.12,9265.0,52.0,1090.0,22.0
Florida Atlantic University,FL,4879.0,17324.0,56746.0,73.44,30790.0,64.0,1110.0,23.0
Florida International University,FL,6565.0,18964.0,60249.0,58.84,53953.0,74.0,1150.0,24.0
The College of the Florida Keys,FL,3276.0,13162.0,42508.0,,854.0,41.0,,
